at1,at2,dec
no,13.2,+
yes,11.8,-
yes,10.2,+
?,?,?
?,13.9,-
no,8.7,-
?,?,+
yes,10.7,-
yes,17.4,-
yes,11.4,+
no,12.8,+
yes,9.3,+
yes,8.4,-
yes,15.4,-
no,16.3,-
yes,10.3,-
no,14.2,+
no,?,+
?,?,-
no,13.6,-
yes,11.6,+
yes,14.1,+
no,15.6,-
?,?,+
no,17.2,+
no,8.7,-
no,9.8,?
yes,?,-
?,18.0,-
no,8.7,-
no,12.0,-
no,8.7,-
yes,17.4,+
yes,17.3,-
no,17.1,+
no,17.0,+
?,15.5,-
yes,8.3,+
no,8.7,-
no,14.9,-
no,9.3,-
yes,11.2,-
no,9.5,?
yes,17.1,-
no,11.8,-
yes,10.2,?
yes,11.3,+
yes,14.1,+
yes,13.4,+
yes,9.0,+
no,12.0,-
yes,14.8,+
?,?,?
no,8.2,+
yes,9.9,+
yes,9.7,+
yes,17.0,-
?,?,+
no,17.6,-
no,15.7,+
yes,12.8,-
no,17.1,-
no,10.8,-
?,?,?
no,12.6,-
?,?,+
no,16.9,+
no,8.4,?
no,12.3,+
no,13.4,-
?,8.0,-
yes,9.7,+
no,14.6,-
no,13.0,+
yes,10.9,+
no,16.3,+
no,9.7,-
?,?,?
no,11.8,+
no,10.6,+
yes,11.6,+
yes,8.2,-
no,9.1,-
no,10.3,-
yes,8.4,-
yes,16.3,+
yes,16.9,+
no,13.6,+
no,12.8,?
yes,13.3,+
yes,10.1,-
no,10.8,-
?,?,-
?,?,-
yes,15.0,-
?,9.4,-
yes,10.0,?
no,?,-
yes,11.9,-
no,13.9,+
