at1,at2,at3,dec
no,8.2,12.8,+
no,16.1,17.6,+
yes,9.4,16.0,+
yes,?,15.6,-
yes,14.1,9.4,+
yes,9.7,10.5,-
yes,12.1,8.2,-
no,15.8,15.0,-
yes,12.9,11.7,+
no,15.1,12.2,+
no,11.9,?,-
yes,13.6,8.6,+
no,8.5,17.4,+
yes,14.2,13.8,-
?,12.5,10.0,-
yes,14.4,13.2,+
no,8.3,17.9,-
no,9.0,14.1,+
no,14.5,10.8,-
no,9.6,13.3,+
yes,11.2,14.4,-
yes,11.2,12.4,+
no,17.2,13.4,+
no,13.9,16.7,-
yes,8.5,14.2,-
no,16.1,17.4,-
yes,15.2,12.0,-
no,13.7,11.9,-
yes,8.8,17.5,-
yes,16.4,9.5,-
yes,8.1,11.3,+
yes,13.9,15.8,-
yes,16.5,13.4,+
yes,17.8,15.2,+
no,10.8,16.7,+
no,10.3,10.1,+
yes,16.4,8.5,-
no,11.3,17.1,-
no,10.7,8.1,-
no,9.3,13.4,+
yes,15.8,9.7,-
no,17.6,8.8,-
no,9.9,13.2,+
no,9.2,17.9,-
yes,14.9,12.1,-
yes,16.7,14.2,+
no,8.4,16.4,-
?,?,11.7,-
no,13.7,9.9,+
no,8.4,17.3,+
no,13.8,10.9,+
no,15.5,9.4,-
no,11.8,13.1,-
yes,16.7,9.8,-
yes,17.3,8.8,+
no,10.4,?,-
yes,17.3,17.3,-
no,12.9,14.7,-
yes,17.0,12.2,-
yes,14.5,9.7,-
no,11.5,17.5,+
no,12.0,?,-
yes,9.4,17.9,+
?,?,18.0,-
no,14.7,14.1,-
no,9.1,13.6,-
no,14.5,12.5,+
yes,12.3,10.2,-
yes,17.3,15.4,-
no,14.8,17.3,-
yes,13.0,13.2,+
yes,14.8,13.0,-
yes,16.5,15.5,-
yes,?,13.6,+
no,13.4,9.7,+
?,?,12.8,-
no,11.0,13.7,-
yes,17.6,11.8,+
no,?,13.3,-
yes,16.9,10.4,-
no,14.8,9.8,-
no,16.2,11.4,+
?,12.2,?,+
yes,10.5,14.1,-
no,15.5,16.4,-
no,10.8,16.4,+
