at1,at2,at3,at4,dec
yes,12.0,13.9,16.6,+
yes,13.8,17.5,8.3,+
no,14.3,8.5,8.3,-
no,17.7,17.3,8.9,-
no,9.6,12.7,8.7,+
no,10.3,13.1,15.8,-
yes,9.1,11.5,8.7,-
no,16.7,9.8,11.0,+
yes,13.8,17.9,15.2,-
yes,15.6,16.1,11.7,+
no,13.3,14.6,14.4,+
yes,8.7,9.0,16.6,+
yes,14.7,16.9,16.7,-
yes,13.2,15.3,10.0,+
no,17.4,8.8,12.4,+
yes,15.6,13.4,16.5,-
no,11.8,17.9,15.9,-
no,9.3,8.4,8.5,+
no,16.3,10.8,14.1,-
yes,12.1,10.7,13.0,-
yes,10.4,17.0,11.3,-
no,15.5,14.1,15.5,-
yes,15.1,11.3,14.4,+
yes,9.4,16.1,14.0,+
yes,11.7,11.0,14.8,+
no,8.9,10.3,13.5,-
yes,12.1,9.5,8.6,+
no,17.9,11.9,9.6,+
yes,11.3,11.0,11.0,-
yes,12.9,12.8,10.7,+
no,12.8,14.5,17.3,-
yes,16.7,13.7,8.9,+
no,9.6,15.8,8.6,-
yes,11.2,14.0,14.7,+
no,9.1,13.2,9.3,+
no,11.7,10.8,12.3,-
yes,10.2,11.0,11.2,-
yes,9.7,17.8,14.5,+
no,14.3,9.5,17.6,+
yes,10.8,13.6,10.4,+
yes,9.6,16.7,17.8,-
yes,8.0,11.3,10.5,-
no,12.0,17.7,11.2,+
no,14.3,8.7,17.4,+
yes,8.8,16.6,9.8,+
no,11.5,11.6,15.3,-
yes,8.6,9.3,10.7,+
yes,15.3,11.8,13.4,-
no,17.4,11.9,16.8,-
no,12.8,17.8,10.5,+
no,10.6,9.0,17.6,-
yes,9.8,11.0,14.0,-
no,9.9,15.1,11.2,-
no,13.8,16.5,14.7,-
no,17.5,13.8,11.7,+
yes,17.5,14.7,9.1,-
yes,11.2,15.0,12.1,+
yes,11.2,9.5,11.5,-
no,9.9,13.0,17.3,+
yes,13.8,15.2,12.9,-
no,13.6,10.8,15.9,-
yes,13.9,11.6,15.9,+
no,15.8,17.1,13.7,+
yes,17.7,16.0,12.8,-
yes,10.3,13.2,15.5,+
yes,9.8,11.6,16.5,-
yes,15.7,9.6,17.6,-
no,12.0,9.8,12.3,+
no,11.2,16.1,9.0,-
yes,15.6,15.6,15.9,-
no,16.9,15.8,16.5,-
no,8.3,12.2,8.3,+
yes,9.3,17.6,16.2,+
no,12.7,8.4,16.4,-
no,11.0,14.4,13.0,+
yes,16.7,9.1,17.6,-
no,16.0,16.2,17.2,-
no,11.0,16.8,13.4,-
yes,16.9,9.3,12.6,+
no,16.8,17.9,15.4,-
no,13.1,14.6,17.1,+
no,9.3,10.4,16.3,-
yes,9.2,13.9,9.6,+
no,13.1,17.7,14.1,-
yes,17.4,15.5,15.9,-
yes,12.0,16.5,10.3,+
yes,12.7,8.2,17.8,+
yes,8.7,17.9,12.0,-
yes,11.6,8.6,14.8,-
yes,8.3,9.3,12.3,+
yes,11.0,8.4,9.6,+
no,13.0,10.0,14.5,+
no,14.5,14.1,11.8,-
yes,11.9,14.6,17.9,+
yes,14.1,12.1,9.7,+
no,11.0,9.3,13.2,-
no,11.4,9.4,16.5,+
yes,9.0,15.8,11.3,-
yes,16.3,10.1,17.7,+
no,8.3,15.1,12.7,-
